poster_url;rt_audience_score;rt_score;genres;Genre_1;Genre_2;Genre_3;imdb_rating;length;rank_in_year;rating;release_date;studio;title;worldwide_gross;year
http://resizing.flixster.com/ee9qtz-r1W0A5tmu-Q1vSj1AxvA=/180x262/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/89/10938903_ori.jpg;3.6;5.4;"Animation
Adventure
Action";Animation;Adventure;Action;7.0;94;3;PG;1-Jul-09;Fox / Blue Sky;Ice Age: Dawn of the Dinosaurs;886686817;2009
http://resizing.flixster.com/t90NXGvHd_JXdRtTgD2BA8WPQKM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166728_ori.jpg;3.7;6.2;"Crime
Adventure
Action";Crime;Adventure;Action;7.6;128;8;PG-13;25-Dec-09;Warner Bros.;Sherlock Holmes;524028679;2009
http://resizing.flixster.com/1fiLyMqNvE2Ggu52KZf7-3We8ak=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/44/11174487_ori.jpg;3.6;4.7;"Fantasy
Drama
Adventure";Fantasy;Drama;Adventure;4.6;130;7;PG-13;20-Nov-09;Summit;The Twilight Saga: New Moon;709827462;2009
http://resizing.flixster.com/oNcE9YJ500YHi2_2wGnclRTcyd8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176669_ori.jpg;3.5;3.9;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;6.0;150;4;PG-13;24-Jun-09;Paramount / DreamWorks;Transformers: Revenge of the Fallen;836303693;2009
http://resizing.flixster.com/rqDzFEQ7SZfbZ_sFTjlbOufZRWw=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/89/43/10894361_ori.jpg;3.8;8.7;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;8.3;96;6;PG;29-May-09;Disney / Pixar;Up;731342744;2009
http://resizing.flixster.com/cXKTN6mCA8-ig98jkg7RVBhnMv4=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/35/10933541_ori.jpg;4.2;7.6;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;7.9;126;8;PG-13;2-May-08;Paramount / Marvel Studios;Iron Man;585174222;2008
http://resizing.flixster.com/Xx3Kv2GPxvCvWWGe_BjJCd6mq3w=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/78/11177843_ori.jpg;3.9;7.2;"Animation
Adventure
Action";Animation;Adventure;Action;7.6;92;3;PG;6-Jun-08;Paramount / DreamWorks;Kung Fu Panda;631744560;2008
http://resizing.flixster.com/8qu9PY5y1_Vy98M35ZAVSoLceOM=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/92/10849221_ori.jpg;3.6;5.9;"Animation
Adventure
Action";Animation;Adventure;Action;6.7;89;6;PG;7-Nov-08;Paramount / DreamWorks;Madagascar: Escape 2 Africa;603900354;2008
http://resizing.flixster.com/-1n0hNCTG4FcJyeGOFqK3yktLk0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/19/11171949_ori.jpg;3.6;5.5;"Romance
Musical
Comedy";Romance;Musical;Comedy;6.4;108;5;PG-13;18-Jul-08;Universal;Mamma Mia!;609827661;2008
http://resizing.flixster.com/0p446SDsCxtLqOzHPuQNS1dxZQE=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/92/11129292_ori.jpg;3.7;6.3;"Family
Adventure
Action";Family;Adventure;Action;6.6;150;10;PG;16-May-08;Disney / Walden Media;The Chronicles of Narnia: Prince Caspian;419665568;2008
